# MLAT(deg)	Eh(mV/km)
-84.12 15.10
-78.99 38.48
-74.26 45.89
-73.21 126.86
-59.89 11.67
-56.82 8.65
-55.31 14.34
-51.31 4.03
-46.99 7.42
-46.23 4.61
-42.49 5.55
-41.95 7.66
-41.68 7.27
-34.07 3.46
-33.32 8.46
-32.66 5.01
-32.17 6.55
-31.60 3.37
-27.78 3.94
-27.18 3.75
-26.15 4.11
-21.74 3.48
-15.26 6.56
-15.13 3.65
-2.55 3.78
-2.04 14.73
5.35 7.09
5.54 3.63
8.63 4.38
10.34 4.52
11.02 5.04
12.99 4.67
14.64 4.09
19.93 4.78
21.70 2.74
22.14 4.29
24.56 6.44
26.10 5.77
27.62 3.60
28.06 3.11
30.38 5.83
33.60 5.46
34.48 6.33
35.60 5.50
37.76 5.39
39.76 5.43
39.84 4.68
40.11 4.91
42.17 7.64
42.37 7.56
42.40 6.88
42.66 5.36
43.07 6.00
43.27 7.74
43.43 4.86
45.58 7.62
45.97 8.66
46.01 5.71
46.86 8.10
46.87 8.76
47.59 7.32
47.88 8.51
48.16 4.57
48.26 5.36
48.33 7.05
48.74 7.65
49.00 7.07
49.76 7.76
50.24 9.86
51.34 7.75
51.35 7.28
51.85 8.44
53.23 10.73
53.49 11.95
53.79 5.95
54.07 8.31
54.08 6.07
54.40 5.48
54.77 7.51
55.39 6.16
55.67 4.73
56.90 5.67
57.70 8.57
57.89 10.47
58.51 9.20
60.36 9.73
61.48 12.11
61.91 7.55
62.68 20.26
63.99 16.37
65.48 35.21
66.10 25.58
67.76 44.59
68.87 77.05
69.77 157.75
73.74 34.00
73.96 133.46
76.45 37.69
78.31 37.34
79.84 11.95
82.82 19.41
87.42 19.97
