YYYY-MM-DD hh:mm:ss	Bx(nT)	By(nT)
2003-10-29 00:00:00	140.27	-24.90
2003-10-29 00:01:00	140.17	-25.20
2003-10-29 00:02:00	140.77	-26.30
2003-10-29 00:03:00	139.87	-26.40
2003-10-29 00:04:00	137.57	-27.40
2003-10-29 00:05:00	132.17	-25.20
2003-10-29 00:06:00	127.77	-24.30
2003-10-29 00:07:00	123.37	-21.90
2003-10-29 00:08:00	120.37	-19.00
2003-10-29 00:09:00	117.47	-17.00
2003-10-29 00:10:00	115.07	-13.60
2003-10-29 00:11:00	116.07	-11.40
2003-10-29 00:12:00	113.57	-7.30
2003-10-29 00:13:00	117.67	-4.70
2003-10-29 00:14:00	118.97	-6.20
2003-10-29 00:15:00	116.87	-7.10
2003-10-29 00:16:00	115.77	-6.70
2003-10-29 00:17:00	113.77	-4.50
2003-10-29 00:18:00	112.97	-1.50
2003-10-29 00:19:00	112.27	-0.00
2003-10-29 00:20:00	113.67	0.60
2003-10-29 00:21:00	114.37	1.70
2003-10-29 00:22:00	115.57	3.20
2003-10-29 00:23:00	115.27	4.80
2003-10-29 00:24:00	118.07	4.10
2003-10-29 00:25:00	120.67	1.90
2003-10-29 00:26:00	122.87	-0.20
2003-10-29 00:27:00	123.17	-2.10
2003-10-29 00:28:00	123.37	-3.40
2003-10-29 00:29:00	123.97	-4.70
2003-10-29 00:30:00	123.77	-4.80
2003-10-29 00:31:00	125.17	-5.00
2003-10-29 00:32:00	124.87	-4.90
2003-10-29 00:33:00	125.97	-6.00
2003-10-29 00:34:00	124.67	-6.70
2003-10-29 00:35:00	123.17	-7.20
2003-10-29 00:36:00	120.67	-6.30
2003-10-29 00:37:00	118.27	-4.40
2003-10-29 00:38:00	116.67	-3.40
2003-10-29 00:39:00	115.07	-3.80
2003-10-29 00:40:00	112.47	-3.10
2003-10-29 00:41:00	110.77	-2.10
2003-10-29 00:42:00	108.87	-2.20
2003-10-29 00:43:00	106.57	-1.80
2003-10-29 00:44:00	103.77	-0.60
2003-10-29 00:45:00	102.47	0.50
2003-10-29 00:46:00	101.57	0.90
2003-10-29 00:47:00	98.57	2.20
2003-10-29 00:48:00	96.47	3.30
2003-10-29 00:49:00	95.27	3.40
2003-10-29 00:50:00	94.27	4.10
2003-10-29 00:51:00	94.37	3.60
2003-10-29 00:52:00	95.47	2.70
2003-10-29 00:53:00	95.17	1.60
2003-10-29 00:54:00	93.07	2.20
2003-10-29 00:55:00	92.17	3.20
2003-10-29 00:56:00	91.27	3.30
2003-10-29 00:57:00	91.77	3.00
2003-10-29 00:58:00	93.57	2.00
2003-10-29 00:59:00	94.87	1.00
2003-10-29 01:00:00	96.07	-0.00
2003-10-29 01:01:00	96.77	-1.20
2003-10-29 01:02:00	96.77	-2.70
2003-10-29 01:03:00	96.87	-4.20
2003-10-29 01:04:00	96.47	-5.70
2003-10-29 01:05:00	96.67	-6.70
2003-10-29 01:06:00	97.47	-9.10
2003-10-29 01:07:00	97.77	-11.20
2003-10-29 01:08:00	97.37	-12.50
2003-10-29 01:09:00	95.57	-12.70
2003-10-29 01:10:00	94.07	-12.90
2003-10-29 01:11:00	93.87	-14.30
2003-10-29 01:12:00	93.47	-15.40
2003-10-29 01:13:00	93.17	-15.80
2003-10-29 01:14:00	93.07	-16.30
2003-10-29 01:15:00	92.27	-16.70
2003-10-29 01:16:00	91.07	-16.80
2003-10-29 01:17:00	90.27	-16.80
2003-10-29 01:18:00	89.67	-17.70
2003-10-29 01:19:00	88.67	-19.00
2003-10-29 01:20:00	87.37	-19.30
2003-10-29 01:21:00	86.57	-19.40
2003-10-29 01:22:00	85.27	-18.10
2003-10-29 01:23:00	84.37	-17.10
2003-10-29 01:24:00	83.77	-16.50
2003-10-29 01:25:00	84.07	-15.80
2003-10-29 01:26:00	84.37	-15.40
2003-10-29 01:27:00	84.87	-16.70
2003-10-29 01:28:00	85.77	-18.10
2003-10-29 01:29:00	86.17	-17.60
2003-10-29 01:30:00	86.37	-15.80
2003-10-29 01:31:00	87.57	-15.90
2003-10-29 01:32:00	86.97	-16.40
2003-10-29 01:33:00	86.77	-16.50
2003-10-29 01:34:00	88.17	-17.90
2003-10-29 01:35:00	90.67	-20.10
2003-10-29 01:36:00	91.77	-22.20
2003-10-29 01:37:00	92.27	-24.50
2003-10-29 01:38:00	91.47	-25.00
2003-10-29 01:39:00	91.17	-26.20
2003-10-29 01:40:00	90.47	-27.80
2003-10-29 01:41:00	90.17	-29.00
2003-10-29 01:42:00	89.07	-28.60
2003-10-29 01:43:00	88.47	-28.80
2003-10-29 01:44:00	88.27	-29.20
2003-10-29 01:45:00	88.57	-28.00
2003-10-29 01:46:00	88.37	-27.10
2003-10-29 01:47:00	87.87	-25.90
2003-10-29 01:48:00	86.57	-24.40
2003-10-29 01:49:00	85.17	-22.60
2003-10-29 01:50:00	85.37	-21.70
2003-10-29 01:51:00	86.47	-21.80
2003-10-29 01:52:00	86.67	-22.80
2003-10-29 01:53:00	86.47	-22.90
2003-10-29 01:54:00	86.77	-23.70
2003-10-29 01:55:00	86.57	-24.30
2003-10-29 01:56:00	86.57	-24.30
2003-10-29 01:57:00	87.47	-24.10
2003-10-29 01:58:00	88.87	-23.30
2003-10-29 01:59:00	90.27	-23.70
2003-10-29 02:00:00	91.67	-24.40
2003-10-29 02:01:00	92.17	-24.60
2003-10-29 02:02:00	92.87	-24.30
2003-10-29 02:03:00	94.37	-24.80
2003-10-29 02:04:00	95.87	-25.00
2003-10-29 02:05:00	96.67	-25.20
2003-10-29 02:06:00	97.27	-25.00
2003-10-29 02:07:00	97.67	-25.70
2003-10-29 02:08:00	98.57	-29.10
2003-10-29 02:09:00	97.77	-32.30
2003-10-29 02:10:00	93.17	-31.90
2003-10-29 02:11:00	88.37	-28.20
2003-10-29 02:12:00	85.27	-25.10
2003-10-29 02:13:00	84.47	-25.50
2003-10-29 02:14:00	84.17	-27.00
2003-10-29 02:15:00	82.37	-27.70
2003-10-29 02:16:00	83.17	-27.90
2003-10-29 02:17:00	83.57	-30.70
2003-10-29 02:18:00	84.37	-33.30
2003-10-29 02:19:00	83.87	-34.30
2003-10-29 02:20:00	84.17	-34.00
2003-10-29 02:21:00	84.67	-33.60
2003-10-29 02:22:00	84.77	-34.60
2003-10-29 02:23:00	84.07	-36.20
2003-10-29 02:24:00	82.47	-36.80
2003-10-29 02:25:00	82.47	-36.00
2003-10-29 02:26:00	84.07	-36.30
2003-10-29 02:27:00	85.17	-36.80
